Company Name,Website,Address,Phone,Estimated Revenue,Revenue Basis,Description,Freight Reason,Decision-Maker Name,Decision-Maker Title,Decision-Maker Email,Decision-Maker Phone,Pitch,Flags
Blue Line Corp,http://bluelinecorp.com,"3443 E Commerce St, San Antonio, TX 78220",(210) 225-0400,"$5,500,000",Chemical Supplier category baseline (no headcount found),Services Our skilled personnel and advanced facilities are your source for critical professional services.,Drummed/packaged chemicals to industrial buyers — regulated LTL freight.,Blue Line,Ceo,,,"One question, fully aware you're busy — Blue Line Corp, You're a chemical supplier in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Carbonfree Chemicals Spei,https://carbonfree.cc/using-separated-co2,"11839 Nacogdoches Rd, San Antonio, TX 78217",(612) 432-5998,"$5,500,000",Chemical Supplier category baseline (no headcount found),This will be based on CarbonFree ’ s patented SkyCycle ® technology.,Drummed/packaged chemicals to industrial buyers — regulated LTL freight.,Executive Vice,President,com@hz-inova.com,,"One question, fully aware you're busy — Carbonfree Chemicals Spei, You're a chemical supplier in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",REVENUE_EST_LOW_CONF
Smart Cash Homes,http://www.smartcashhomes.com,"San Antonio, TX 78249",(210) 215-2572,"$5,000,000",Manufacturer category baseline (no headcount found),"Manufacturer based in San Antonio, TX.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Smart Cash Homes, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
181 South Homes,http://www.181southhomes.com,"12621 S US Highway 181, San Antonio, TX 78223",(210) 633-0429,"$5,000,000",Manufacturer category baseline (no headcount found),"Pick a time that works for you and walk through available models with one of our specialists — no pressure, no obligation.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,South Homes,Owner,you@email.com,,"I'll keep this to ten seconds, then you decide — 181 South Homes, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",REVENUE_EST_LOW_CONF
Circle Bar A Inc,https://www.circlebara.com,"27035 Campbellton Rd, San Antonio, TX 78264",(210) 626-2272,"$5,000,000",Manufacturer category baseline (no headcount found),"From shale plays in Texas to West Virginia, Ohio, North Dakota and more, Circle Bar A is there with the proppant frac sand vital to oil field operations.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL. Site advertises wide-area shipping — confirmed outbound volume.,,Owner,,,"I'll keep this to ten seconds, then you decide — Circle Bar A Inc, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Northwest Trails,https://yescommunities.com/community/northwest-trails,"7109 W Loop 1604 N Lot 153, San Antonio, TX 78254",(210) 688-2369,"$5,000,000",Manufacturer category baseline (no headcount found),"Community features include a clubhouse, playground, swimming pool, basketball courts, picnic areas, and keyed mailboxes.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,northwesttrails@yescommunities.com,,"I'll keep this to ten seconds, then you decide — Northwest Trails, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Champion Homes,http://marshallmeadowsapts.com,"1803 Marshall Cross, San Antonio, TX 78214",(210) 627-9919,"$5,000,000",Manufacturer category baseline (no headcount found),"Enjoy the convenience of water bill coverage along with access to our resident clubhouse, business center, swimming pool, and park with a playground.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Champion Homes, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Unique Builds,http://uniquebuilds.net,"P.O. Box No. 790344, San Antonio, TX 78279",(210) 849-0141,"$5,000,000",Manufacturer category baseline (no headcount found),Raihlah mimpi menang besarmu hanya di OYATOTO.,Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Unique Builds, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
TN WIRELESS,,"8738 Five Palms Dr, San Antonio, TX 78242",(210) 670-5139,"$5,000,000",Manufacturer category baseline (no headcount found),"Manufacturer based in San Antonio, TX.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — TN WIRELESS, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Valley Ridge,https://www.myvalleyridge.us,"8671 SW Loop 410, San Antonio, TX 78242",(210) 623-6565,"$5,000,000",Manufacturer category baseline (no headcount found),"Shopping, dining, a pharmacy and a grocery store are all within a few minutes of our mobile homes communities in San Antonio.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Valley Ridge, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Higdon Oaks,https://www.higdonoaks.com,"5718 Higdon Rd, San Antonio, TX 78223",(210) 664-4663,"$5,000,000",Manufacturer category baseline (no headcount found),"Manufacturer based in San Antonio, TX.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Higdon Oaks, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Amainstallers,,"131 Fordham Ave, San Antonio, TX 78228",(210) 833-3481,"$5,000,000",Manufacturer category baseline (no headcount found),"Manufacturer based in San Antonio, TX.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Amainstallers, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Navajo Homes Inc,https://www.myindianhills.com,"3500 Goliad Rd, San Antonio, TX 78223",(210) 333-0842,"$5,000,000",Manufacturer category baseline (no headcount found),"Restaurants within one mile include Chili's, Cracker Barrel, Olive Garden, Longhorn Cafe, and IHOP, and others.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,info@myindianhills.com,,"I'll keep this to ten seconds, then you decide — Navajo Homes Inc, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Cavco Home Center,http://www.cavcohomecenter.com/braunfels,"1570 N Interstate 35, New Braunfels, TX 78130",(830) 608-0208,"$5,000,000",Manufacturer category baseline (no headcount found),You need to enable JavaScript to run this app.,Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Cavco Home Center, You're a manufacturer in New Braunfels moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Bella Vista Homes,,"3510 White Cloud, New Braunfels, TX 78130",(830) 302-7044,"$5,000,000",Manufacturer category baseline (no headcount found),"Manufacturer based in New Braunfels, TX.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Bella Vista Homes, You're a manufacturer in New Braunfels moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
MOBILE HOME REPAIR,,"834 Long Creek Blvd, New Braunfels, TX 78130",(210) 296-5853,"$5,000,000",Manufacturer category baseline (no headcount found),"Manufacturer based in New Braunfels, TX.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — MOBILE HOME REPAIR, You're a manufacturer in New Braunfels moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Clayton Homes,https://www.claytonhomesofnb.com,"2137 N Interstate 35, New Braunfels, TX 78130",(830) 620-1141,"$5,000,000",Manufacturer category baseline (no headcount found),"Modular, Manufactured, Mobile Homes For Sale Near Me | Clayton Homes of New Braunfels.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,kim.collier@claytonhomes.com,,"I'll keep this to ten seconds, then you decide — Clayton Homes, You're a manufacturer in New Braunfels moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Palm Harbor Homes,https://www.palmharbor.com/model-center/buda,"9040 Interstate 35 N, New Braunfels, TX 78130",(512) 295-7803,"$5,000,000",Manufacturer category baseline (no headcount found),You need to enable JavaScript to run this app.,Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Palm Harbor Homes, You're a manufacturer in New Braunfels moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Windy Meadows,,"381 Meadow View Dr, Schertz, TX 78154",(210) 658-0150,"$5,000,000",Manufacturer category baseline (no headcount found),"Manufacturer based in Schertz, TX.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Windy Meadows, You're a manufacturer in Schertz moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Palm Harbor Village,http://www.palmharbor.com/model-center/seguin,"401 W Interstate 10, Seguin, TX 78155",(830) 303-0334,"$5,000,000",Manufacturer category baseline (no headcount found),You need to enable JavaScript to run this app.,Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Palm Harbor Village, You're a manufacturer in Seguin moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Val's Mobile Home Park,,"125 Clinton Rd, Cibolo, TX 78108",(210) 658-5405,"$5,000,000",Manufacturer category baseline (no headcount found),"Manufacturer based in Cibolo, TX.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Val's Mobile Home Park, You're a manufacturer in Cibolo moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Oak Creek Homes Seguin,http://www.oakcreekhome.com,"3090 W Interstate 10, Seguin, TX 78155",(830) 448-0309,"$5,000,000",Manufacturer category baseline (no headcount found),oakcreekhome.com Click here to enter.,Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Oak Creek Homes Seguin, You're a manufacturer in Seguin moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Mobile Home Connections,http://mobilehomeconnections.localsearch.com,"2010 W Interstate 10, Seguin, TX 78155",(830) 372-9320,"$5,000,000",Manufacturer category baseline (no headcount found),"Manufacturer based in Seguin, TX.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Mobile Home Connections, You're a manufacturer in Seguin moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Clayton Homes,https://www.claytonhomesofseguin.com,"655 E Interstate 10, Seguin, TX 78155",(830) 372-4777,"$5,000,000",Manufacturer category baseline (no headcount found),"Modular, Manufactured, Mobile Homes For Sale Near Me | Clayton Homes.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,r141@claytonhomes.com,,"I'll keep this to ten seconds, then you decide — Clayton Homes, You're a manufacturer in Seguin moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Cavco Industries,http://cavco.com,"2301 N State Highway 46, Seguin, TX 78155",(830) 379-4485,"$5,000,000",Manufacturer category baseline (no headcount found),You need to enable JavaScript to run this app.,Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Cavco Industries, You're a manufacturer in Seguin moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Seguin Portable Bldgs,http://seguinportablebldgs.localsearch.com,"510 E Interstate 10, Seguin, TX 78155",(830) 379-1202,"$5,000,000",Manufacturer category baseline (no headcount found),"Manufacturer based in Seguin, TX.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Seguin Portable Bldgs, You're a manufacturer in Seguin moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Lane Mcduff,http://lanemcduff.com,"3044 W Interstate 10, Seguin, TX 78155",(830) 372-4700,"$5,000,000",Manufacturer category baseline (no headcount found),"Allen, Ethan Allen, Grant Amberly, Viscou.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Lane Mcduff, You're a manufacturer in Seguin moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
EASY LIVING MO0BILE HOMES,,"10494 W Interstate 10, Marion, TX 78124",(830) 433-1171,"$5,000,000",Manufacturer category baseline (no headcount found),"Manufacturer based in Marion, TX.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — EASY LIVING MO0BILE HOMES, You're a manufacturer in Marion moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Regency Village,http://regencyvillage8056956.localsearch.com,"8259 Montgomery Oak, San Antonio, TX 78239",(210) 599-0990,"$5,000,000",Manufacturer category baseline (no headcount found),"Manufacturer based in San Antonio, TX.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Regency Village, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Yes Communities,http://www.yescommunities.com,"13708 Judson Rd, San Antonio, TX 78233",(210) 946-2222,"$5,000,000",Manufacturer category baseline (no headcount found),Looking to pay rent? Pay Rent Here Home is Just the Beginning.,Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Yes Communities, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Oak Crest Point,http://www.oakcrestpointemhc.com,"6435 Crestway Dr, San Antonio, TX 78239",(210) 655-6993,"$5,000,000",Manufacturer category baseline (no headcount found),"Well-maintained entrances, luxurious landscaping, and modern amenities create a living environment you’ll love to call home.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Oak Crest Point, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Yes Communities,http://yescommunities.com,"6030 Fm 1346, San Antonio, TX 78220",(210) 662-6732,"$5,000,000",Manufacturer category baseline (no headcount found),Looking to pay rent? Pay Rent Here Home is Just the Beginning.,Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Yes Communities, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Springfield Meadows,https://yescommunities.com/community/springfield-meadows,"4819 Lunar, Kirby, TX 78219",(210) 661-3183,"$5,000,000",Manufacturer category baseline (no headcount found),"Community features include a swimming pool, playground, basketball courts, clubhouse, and storage options.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,springfieldmeadows@yescommunities.com,,"I'll keep this to ten seconds, then you decide — Springfield Meadows, You're a manufacturer in Kirby moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Hidden Lake,https://yescommunities.com/community/hidden-lake,"6030 Fm 1346, San Antonio, TX 78220",(210) 662-6732,"$5,000,000",Manufacturer category baseline (no headcount found),Residents also enjoy planned activities and events.,Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,hiddenlake@yescommunities.com,,"I'll keep this to ten seconds, then you decide — Hidden Lake, You're a manufacturer in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Emerald Homes,,"26903 Sage Crk, Boerne, TX 78006",(830) 981-4508,"$5,000,000",Manufacturer category baseline (no headcount found),"Manufacturer based in Boerne, TX.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Emerald Homes, You're a manufacturer in Boerne moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Palm Harbor Village,http://palmharbor.com,"28970 Interstate 10 W, Boerne, TX 78006",(830) 755-4922,"$5,000,000",Manufacturer category baseline (no headcount found),You need to enable JavaScript to run this app.,Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Palm Harbor Village, You're a manufacturer in Boerne moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Sitterle Homes,,"16526 Meseta, Helotes, TX 78023",(210) 695-3139,"$5,000,000",Manufacturer category baseline (no headcount found),"Manufacturer based in Helotes, TX.",Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,,,"I'll keep this to ten seconds, then you decide — Sitterle Homes, You're a manufacturer in Helotes moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Storage Solutions,http://www.newbuildingsnow.com,"28835 Us Highway 281 N, Bulverde, TX 78163",(830) 438-8602,"$5,000,000",Manufacturer category baseline (no headcount found),We proudly represent only General Shelters portable buildings and related products.,Ships finished goods and receives raw materials on pallets — recurring outbound LTL.,,Owner,buildings@gvtc.com,,"I'll keep this to ten seconds, then you decide — Storage Solutions, You're a manufacturer in Bulverde moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; REVENUE_EST_LOW_CONF
Dittmar Lumber Co,,"500 Seguin St, San Antonio, TX 78208",(210) 910-4712,"$5,000,000",Building Materials category baseline (no headcount found),"Building Materials based in San Antonio, TX.","Heavy, bulky materials to job sites — LTL and flatbed needs almost daily.",,Owner,,,"Ten seconds, then hang up on me if it's dumb — Dittmar Lumber Co, You're a building materials in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Service Partners,https://www.service-partners.com/branches/tx/san-antonio/a32,"1811 Shipman Dr Ste 118, San Antonio, TX 78219",(210) 661-1300,"$5,000,000",Building Materials category baseline (no headcount found),"Building Materials based in San Antonio, TX.","Heavy, bulky materials to job sites — LTL and flatbed needs almost daily.",,Owner,,,"Ten seconds, then hang up on me if it's dumb — Service Partners, You're a building materials in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
84 Lumber,http://www.84lumber.com,"18100 Fm 2252, San Antonio, TX 78266",(210) 651-1184,"$5,000,000",Building Materials category baseline (no headcount found),"INSTALLATION SERVICES 84’s Installation Services Team solves the challenge of securing skilled, reliable teams to complete installation.","Heavy, bulky materials to job sites — LTL and flatbed needs almost daily. Site advertises wide-area shipping — confirmed outbound volume.",,Owner,,,"Ten seconds, then hang up on me if it's dumb — 84 Lumber, You're a building materials in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Four Points Sa,,"524 S Saint Marys St, San Antonio, TX 78205",(210) 354-1333,"$5,000,000",Building Materials category baseline (no headcount found),"Building Materials based in San Antonio, TX.","Heavy, bulky materials to job sites — LTL and flatbed needs almost daily.",,Owner,,,"Ten seconds, then hang up on me if it's dumb — Four Points Sa, You're a building materials in San Antonio moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Dean Word LTD,,"1245 River Ter, New Braunfels, TX 78130",(830) 625-2365,"$5,000,000",Building Materials category baseline (no headcount found),"Building Materials based in New Braunfels, TX.","Heavy, bulky materials to job sites — LTL and flatbed needs almost daily.",,Owner,,,"Ten seconds, then hang up on me if it's dumb — Dean Word LTD, You're a building materials in New Braunfels moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Hoffmann Floors,http://www.hoffmannfloors.com,"710 Loop 337, New Braunfels, TX 78130",(830) 625-2629,"$5,000,000",Building Materials category baseline (no headcount found),"Explore a diverse range of flooring options, including luxurious hardwood , cozy carpet , resilient luxury vinyl and elegant tile.","Heavy, bulky materials to job sites — LTL and flatbed needs almost daily.",,Owner,,,"Ten seconds, then hang up on me if it's dumb — Hoffmann Floors, You're a building materials in New Braunfels moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Fastenal Company,http://www.fastenal.com,"992 S State Highway 46, New Braunfels, TX 78130",(830) 620-0265,"$5,000,000",Building Materials category baseline (no headcount found),"Building Materials based in New Braunfels, TX.","Heavy, bulky materials to job sites — LTL and flatbed needs almost daily.",,Owner,,,"Ten seconds, then hang up on me if it's dumb — Fastenal Company, You're a building materials in New Braunfels moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
Menn & Associates,http://mennassociatestx.localsearch.com,"122 W Ireland St, Seguin, TX 78155",(830) 379-8651,"$5,000,000",Building Materials category baseline (no headcount found),"Building Materials based in Seguin, TX.","Heavy, bulky materials to job sites — LTL and flatbed needs almost daily.",,Owner,,,"Ten seconds, then hang up on me if it's dumb — Menn & Associates, You're a building materials in Seguin moving product out the door every week, and I help shippers your size stop overpaying on LTL. If I can't beat what you're paying now, I'll tell you straight. Worth a two-minute look at one of your recent bills?",NEEDS_DM_NAME; NEEDS_DM_EMAIL; REVENUE_EST_LOW_CONF
